rel_path,name,ext,size_bytes,mtime,category,doctype,lang_hint
05_APPROVALS/README.md,README.md,.md,908,2026-05-04T06:47:11,approval,markdown,en
05_APPROVALS/المستخلص 03.pdf,المستخلص 03.pdf,.pdf,6835348,2026-05-04T06:47:11,approval,pdf,ar
05_APPROVALS/شهادة اعتماد-1.pdf,شهادة اعتماد-1.pdf,.pdf,6313233,2026-05-04T06:47:11,approval,pdf,ar
05_APPROVALS/شهادة اعتماد-10.pdf,شهادة اعتماد-10.pdf,.pdf,1590859,2026-05-04T06:47:12,approval,pdf,ar
05_APPROVALS/شهادة اعتماد-11.pdf,شهادة اعتماد-11.pdf,.pdf,13491930,2026-05-04T06:47:12,approval,pdf,ar
05_APPROVALS/شهادة اعتماد-12.pdf,شهادة اعتماد-12.pdf,.pdf,1340341,2026-05-04T06:47:12,approval,pdf,ar
05_APPROVALS/شهادة اعتماد-13.pdf,شهادة اعتماد-13.pdf,.pdf,9122098,2026-05-04T06:47:12,approval,pdf,ar
05_APPROVALS/شهادة اعتماد-14.pdf,شهادة اعتماد-14.pdf,.pdf,20843435,2026-05-04T06:47:12,approval,pdf,ar
05_APPROVALS/شهادة اعتماد-15.pdf,شهادة اعتماد-15.pdf,.pdf,11595060,2026-05-04T06:47:12,approval,pdf,ar
05_APPROVALS/شهادة اعتماد-16.pdf,شهادة اعتماد-16.pdf,.pdf,15437305,2026-05-04T06:47:12,approval,pdf,ar
05_APPROVALS/شهادة اعتماد-17.pdf,شهادة اعتماد-17.pdf,.pdf,6045245,2026-05-04T06:47:12,approval,pdf,ar
05_APPROVALS/شهادة اعتماد-18.pdf,شهادة اعتماد-18.pdf,.pdf,8477788,2026-05-04T06:47:12,approval,pdf,ar
05_APPROVALS/شهادة اعتماد-19.pdf,شهادة اعتماد-19.pdf,.pdf,26497872,2026-05-04T06:47:13,approval,pdf,ar
05_APPROVALS/شهادة اعتماد-2.pdf,شهادة اعتماد-2.pdf,.pdf,6552464,2026-05-04T06:47:11,approval,pdf,ar
05_APPROVALS/شهادة اعتماد-20.pdf,شهادة اعتماد-20.pdf,.pdf,30355736,2026-05-04T06:47:13,approval,pdf,ar
05_APPROVALS/شهادة اعتماد-21.pdf,شهادة اعتماد-21.pdf,.pdf,20897410,2026-05-04T06:47:13,approval,pdf,ar
05_APPROVALS/شهادة اعتماد-4 (2).pdf,شهادة اعتماد-4 (2).pdf,.pdf,4391566,2026-05-04T06:47:11,approval,pdf,ar
05_APPROVALS/شهادة اعتماد-5 (2).pdf,شهادة اعتماد-5 (2).pdf,.pdf,5814796,2026-05-04T06:47:12,approval,pdf,ar
05_APPROVALS/شهادة اعتماد-6.pdf,شهادة اعتماد-6.pdf,.pdf,915087,2026-05-04T06:47:12,approval,pdf,ar
05_APPROVALS/شهادة اعتماد-7.pdf,شهادة اعتماد-7.pdf,.pdf,1102924,2026-05-04T06:47:12,approval,pdf,ar
05_APPROVALS/شهادة اعتماد-8.pdf,شهادة اعتماد-8.pdf,.pdf,665141,2026-05-04T06:47:12,approval,pdf,ar
05_APPROVALS/شهادة اعتماد-9.pdf,شهادة اعتماد-9.pdf,.pdf,8784398,2026-05-04T06:47:12,approval,pdf,ar
02_BOQ/2023-MOMRA-0150-S     طلب اعتماد جداول الزيادات والوفورات والعقد المعدل (الامر التغييري رقم5)  .pdf,2023-MOMRA-0150-S     طلب اعتماد جداول الزيادات والوفورات والعقد المعدل (الامر التغييري رقم5)  .pdf,.pdf,31108454,2026-05-04T06:47:05,boq,pdf,ar
02_BOQ/BOQ.pdf,BOQ.pdf,.pdf,15021960,2026-05-04T06:47:05,boq,pdf,en
02_BOQ/BOQ.xlsx,BOQ.xlsx,.xlsx,99316,2026-05-04T06:47:05,boq,xlsx,en
02_BOQ/README.md,README.md,.md,742,2026-05-04T06:47:05,boq,markdown,en
02_BOQ/جداول الكميات.pdf,جداول الكميات.pdf,.pdf,7821081,2026-05-04T06:47:05,boq,pdf,ar
02_BOQ/طلب اعتماد جداول الزيادات والوفورات والبنود المستحدثة.pdf,طلب اعتماد جداول الزيادات والوفورات والبنود المستحدثة.pdf,.pdf,139388289,2026-05-04T06:47:06,boq,pdf,ar
03_VO/01_05_03_24_VO_REHQ (1)(امر تغيير رقم-1 ).pdf,01_05_03_24_VO_REHQ (1)(امر تغيير رقم-1 ).pdf,.pdf,1607624,2026-05-04T06:47:06,change_order,pdf,ar
03_VO/02_29_07_24_VO_REHQ(امر تغيير رقم-2).pdf,02_29_07_24_VO_REHQ(امر تغيير رقم-2).pdf,.pdf,6041000,2026-05-04T06:47:06,change_order,pdf,ar
03_VO/03_02_09_24_VO_REHQ)لمر تغيير رقم-3).pdf,03_02_09_24_VO_REHQ)لمر تغيير رقم-3).pdf,.pdf,8433473,2026-05-04T06:47:06,change_order,pdf,ar
03_VO/04_04_12_24_VO_REHQ)امر تغيير رقم-4).pdf,04_04_12_24_VO_REHQ)امر تغيير رقم-4).pdf,.pdf,31887258,2026-05-04T06:47:07,change_order,pdf,ar
03_VO/05_01_06_25_VO_REHQ(امر تغيير رقم-5).pdf,05_01_06_25_VO_REHQ(امر تغيير رقم-5).pdf,.pdf,964171,2026-05-04T06:47:07,change_order,pdf,ar
03_VO/2023-MOMRA-0018 - S   جداول الكميات المحدثة (المناقلة رقم 1 ).pdf,2023-MOMRA-0018 - S   جداول الكميات المحدثة (المناقلة رقم 1 ).pdf,.pdf,51088867,2026-05-04T06:47:07,change_order,pdf,ar
03_VO/2023-MOMRA-0072-S  الأوامر التغيرية.pdf,2023-MOMRA-0072-S  الأوامر التغيرية.pdf,.pdf,140712439,2026-05-04T06:47:08,change_order,pdf,ar
03_VO/2023-MOMRA-0073-S  طلب اعتماد البنود المستحدثة.pdf,2023-MOMRA-0073-S  طلب اعتماد البنود المستحدثة.pdf,.pdf,143038479,2026-05-04T06:47:09,change_order,pdf,ar
03_VO/2023-MOMRA-0121- S  طلب اعتماد البنود المستحدثة.pdf,2023-MOMRA-0121- S  طلب اعتماد البنود المستحدثة.pdf,.pdf,21697441,2026-05-04T06:47:09,change_order,pdf,ar
03_VO/OVs/01_05_03_24_VO_REHQ.pdf,01_05_03_24_VO_REHQ.pdf,.pdf,1607624,2026-05-04T06:47:09,change_order,pdf,en
03_VO/OVs/02_29_07_24_VO_REHQ.pdf,02_29_07_24_VO_REHQ.pdf,.pdf,6041000,2026-05-04T06:47:09,change_order,pdf,en
03_VO/OVs/03_02_09_24_VO_REHQ.pdf,03_02_09_24_VO_REHQ.pdf,.pdf,8433473,2026-05-04T06:47:09,change_order,pdf,en
03_VO/OVs/04_04_12_24_VO_REHQ.pdf,04_04_12_24_VO_REHQ.pdf,.pdf,31887258,2026-05-04T06:47:09,change_order,pdf,en
03_VO/OVs/05_01_06_25_VO_REHQ.pdf,05_01_06_25_VO_REHQ.pdf,.pdf,964171,2026-05-04T06:47:10,change_order,pdf,en
03_VO/README.md,README.md,.md,890,2026-05-04T06:47:09,change_order,markdown,en
06_CERTIFICATES/README.md,README.md,.md,869,2026-05-04T06:47:13,completion_certificate,markdown,en
06_CERTIFICATES/شهادة انجاز-1.pdf,شهادة انجاز-1.pdf,.pdf,6314816,2026-05-04T06:47:13,completion_certificate,pdf,ar
06_CERTIFICATES/شهادة انجاز-10.pdf,شهادة انجاز-10.pdf,.pdf,1574576,2026-05-04T06:47:13,completion_certificate,pdf,ar
06_CERTIFICATES/شهادة انجاز-11.pdf,شهادة انجاز-11.pdf,.pdf,13472929,2026-05-04T06:47:13,completion_certificate,pdf,ar
06_CERTIFICATES/شهادة انجاز-12.pdf,شهادة انجاز-12.pdf,.pdf,1319351,2026-05-04T06:47:13,completion_certificate,pdf,ar
06_CERTIFICATES/شهادة انجاز-13.pdf,شهادة انجاز-13.pdf,.pdf,9111002,2026-05-04T06:47:14,completion_certificate,pdf,ar
06_CERTIFICATES/شهادة انجاز-14.pdf,شهادة انجاز-14.pdf,.pdf,20858024,2026-05-04T06:47:14,completion_certificate,pdf,ar
06_CERTIFICATES/شهادة انجاز-15.pdf,شهادة انجاز-15.pdf,.pdf,11573124,2026-05-04T06:47:14,completion_certificate,pdf,ar
06_CERTIFICATES/شهادة انجاز-16.pdf,شهادة انجاز-16.pdf,.pdf,15374731,2026-05-04T06:47:14,completion_certificate,pdf,ar
06_CERTIFICATES/شهادة انجاز-17.pdf,شهادة انجاز-17.pdf,.pdf,6000538,2026-05-04T06:47:14,completion_certificate,pdf,ar
06_CERTIFICATES/شهادة انجاز-18.pdf,شهادة انجاز-18.pdf,.pdf,8544152,2026-05-04T06:47:14,completion_certificate,pdf,ar
06_CERTIFICATES/شهادة انجاز-19.pdf,شهادة انجاز-19.pdf,.pdf,26497876,2026-05-04T06:47:14,completion_certificate,pdf,ar
06_CERTIFICATES/شهادة انجاز-2.pdf,شهادة انجاز-2.pdf,.pdf,6545112,2026-05-04T06:47:13,completion_certificate,pdf,ar
06_CERTIFICATES/شهادة انجاز-20.pdf,شهادة انجاز-20.pdf,.pdf,30296115,2026-05-04T06:47:14,completion_certificate,pdf,ar
06_CERTIFICATES/شهادة انجاز-21.pdf,شهادة انجاز-21.pdf,.pdf,20897440,2026-05-04T06:47:15,completion_certificate,pdf,ar
06_CERTIFICATES/شهادة انجاز-3.pdf,شهادة انجاز-3.pdf,.pdf,6831256,2026-05-04T06:47:13,completion_certificate,pdf,ar
06_CERTIFICATES/شهادة انجاز-4.pdf,شهادة انجاز-4.pdf,.pdf,4385492,2026-05-04T06:47:13,completion_certificate,pdf,ar
06_CERTIFICATES/شهادة انجاز-5.pdf,شهادة انجاز-5.pdf,.pdf,5811126,2026-05-04T06:47:13,completion_certificate,pdf,ar
06_CERTIFICATES/شهادة انجاز-6.pdf,شهادة انجاز-6.pdf,.pdf,914869,2026-05-04T06:47:13,completion_certificate,pdf,ar
06_CERTIFICATES/شهادة انجاز-7.pdf,شهادة انجاز-7.pdf,.pdf,1102375,2026-05-04T06:47:13,completion_certificate,pdf,ar
06_CERTIFICATES/شهادة انجاز-8.pdf,شهادة انجاز-8.pdf,.pdf,664015,2026-05-04T06:47:13,completion_certificate,pdf,ar
06_CERTIFICATES/شهادة انجاز-9.pdf,شهادة انجاز-9.pdf,.pdf,8762663,2026-05-04T06:47:13,completion_certificate,pdf,ar
01_CONTRACT/README.md,README.md,.md,645,2026-05-04T06:47:04,contract_master,markdown,en
01_CONTRACT/العقد.pdf,العقد.pdf,.pdf,1595251,2026-05-04T06:47:04,contract_master,pdf,ar
01_CONTRACT/اللائحة التنفيذية لنظام المنافسات والمشتريات الحكومية المعدلة لعام 1441ه.pdf,اللائحة التنفيذية لنظام المنافسات والمشتريات الحكومية المعدلة لعام 1441ه.pdf,.pdf,10461396,2026-05-04T06:47:04,contract_master,pdf,ar
01_CONTRACT/المواصفات الفنية.pdf,المواصفات الفنية.pdf,.pdf,11840260,2026-05-04T06:47:05,contract_master,pdf,ar
01_CONTRACT/عقد المشروع.pdf,عقد المشروع.pdf,.pdf,25615359,2026-05-04T06:47:05,contract_master,pdf,ar
01_CONTRACT/كراسة الشروط والمواصفات.pdf,كراسة الشروط والمواصفات.pdf,.pdf,1623066,2026-05-04T06:47:05,contract_master,pdf,ar
