rel_path,name,ext,size_bytes,category,tax_category,confidence,reason,import_relevance
05_APPROVALS/README.md,README.md,.md,908,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
05_APPROVALS/المستخلص 03.pdf,المستخلص 03.pdf,.pdf,6835348,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
05_APPROVALS/شهادة اعتماد-1.pdf,شهادة اعتماد-1.pdf,.pdf,6313233,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
05_APPROVALS/شهادة اعتماد-10.pdf,شهادة اعتماد-10.pdf,.pdf,1590859,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
05_APPROVALS/شهادة اعتماد-11.pdf,شهادة اعتماد-11.pdf,.pdf,13491930,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
05_APPROVALS/شهادة اعتماد-12.pdf,شهادة اعتماد-12.pdf,.pdf,1340341,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
05_APPROVALS/شهادة اعتماد-13.pdf,شهادة اعتماد-13.pdf,.pdf,9122098,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
05_APPROVALS/شهادة اعتماد-14.pdf,شهادة اعتماد-14.pdf,.pdf,20843435,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
05_APPROVALS/شهادة اعتماد-15.pdf,شهادة اعتماد-15.pdf,.pdf,11595060,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
05_APPROVALS/شهادة اعتماد-16.pdf,شهادة اعتماد-16.pdf,.pdf,15437305,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
05_APPROVALS/شهادة اعتماد-17.pdf,شهادة اعتماد-17.pdf,.pdf,6045245,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
05_APPROVALS/شهادة اعتماد-18.pdf,شهادة اعتماد-18.pdf,.pdf,8477788,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
05_APPROVALS/شهادة اعتماد-19.pdf,شهادة اعتماد-19.pdf,.pdf,26497872,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
05_APPROVALS/شهادة اعتماد-2.pdf,شهادة اعتماد-2.pdf,.pdf,6552464,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
05_APPROVALS/شهادة اعتماد-20.pdf,شهادة اعتماد-20.pdf,.pdf,30355736,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
