contract_no,claim_seq,document_type,document_type_ar,expected_filename,folder_hint,mandatory,upload_status,uploaded_at,missing_warning,external_ref,source_sheet,source_row,source_file,extraction_method,confidence_level,data_quality_notes
CMH_01-C01,1,اعتماد,اعتماد,CMH_01-CLM-001-APPROVAL.pdf,05_APPROVALS,اختياري,,,,CMH_01-CLM-001,سجل المرفقات,6,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,2,اعتماد,اعتماد,CMH_01-CLM-002-APPROVAL.pdf,05_APPROVALS,اختياري,,,,CMH_01-CLM-002,سجل المرفقات,10,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,3,اعتماد,اعتماد,CMH_01-CLM-003-APPROVAL.pdf,05_APPROVALS,اختياري,,,,CMH_01-CLM-003,سجل المرفقات,14,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,4,اعتماد,اعتماد,CMH_01-CLM-004-APPROVAL.pdf,05_APPROVALS,اختياري,,,,CMH_01-CLM-004,سجل المرفقات,18,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,5,اعتماد,اعتماد,CMH_01-CLM-005-APPROVAL.pdf,05_APPROVALS,اختياري,,,,CMH_01-CLM-005,سجل المرفقات,22,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,6,اعتماد,اعتماد,CMH_01-CLM-006-APPROVAL.pdf,05_APPROVALS,اختياري,,,,CMH_01-CLM-006,سجل المرفقات,26,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,7,اعتماد,اعتماد,CMH_01-CLM-007-APPROVAL.pdf,05_APPROVALS,اختياري,,,,CMH_01-CLM-007,سجل المرفقات,30,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,8,اعتماد,اعتماد,CMH_01-CLM-008-APPROVAL.pdf,05_APPROVALS,اختياري,,,,CMH_01-CLM-008,سجل المرفقات,34,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,9,اعتماد,اعتماد,CMH_01-CLM-009-APPROVAL.pdf,05_APPROVALS,اختياري,,,,CMH_01-CLM-009,سجل المرفقات,38,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,10,اعتماد,اعتماد,CMH_01-CLM-010-APPROVAL.pdf,05_APPROVALS,اختياري,,,,CMH_01-CLM-010,سجل المرفقات,42,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,11,اعتماد,اعتماد,CMH_01-CLM-011-APPROVAL.pdf,05_APPROVALS,اختياري,,,,CMH_01-CLM-011,سجل المرفقات,46,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,12,اعتماد,اعتماد,CMH_01-CLM-012-APPROVAL.pdf,05_APPROVALS,اختياري,,,,CMH_01-CLM-012,سجل المرفقات,50,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,13,اعتماد,اعتماد,CMH_01-CLM-013-APPROVAL.pdf,05_APPROVALS,اختياري,,,,CMH_01-CLM-013,سجل المرفقات,54,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,14,اعتماد,اعتماد,CMH_01-CLM-014-APPROVAL.pdf,05_APPROVALS,اختياري,,,,CMH_01-CLM-014,سجل المرفقات,58,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,15,اعتماد,اعتماد,CMH_01-CLM-015-APPROVAL.pdf,05_APPROVALS,اختياري,,,,CMH_01-CLM-015,سجل المرفقات,62,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,16,اعتماد,اعتماد,CMH_01-CLM-016-APPROVAL.pdf,05_APPROVALS,اختياري,,,,CMH_01-CLM-016,سجل المرفقات,66,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,17,اعتماد,اعتماد,CMH_01-CLM-017-APPROVAL.pdf,05_APPROVALS,اختياري,,,,CMH_01-CLM-017,سجل المرفقات,70,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,18,اعتماد,اعتماد,CMH_01-CLM-018-APPROVAL.pdf,05_APPROVALS,اختياري,,,,CMH_01-CLM-018,سجل المرفقات,74,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
