contract_no,item_no,description_ar,description,discipline,unit,unit_price,contractual_qty,item_total,progress_model,progress_model_source_ar,item_code,discipline_code,item_kind,source_sheet,source_row,source_file,extraction_method,confidence_level,data_quality_notes
CMH_01-C01,1,تشتمل على أعمال الهدم وإلإزالة والترحيل داخل أدوار المبنى والسعر يشمل نقل المخلفات الغير صالحه للمقالب العموميه ونقل المخلفات الصالحه لمخازن الجهه المالكه.Ref drawing: 07-MRA-DD-(as per floor number)-AR-001هدم وإزالة الجدران وتشمل  جميع أنواع جدران الطوب  والقواطع الجبسية و الخشبية و الزجاجية  بحسب المخططات المعتمدة وتعليمات المهندس المشرف.,,معماري,م2,18.0,17900.0,322200.0,percentage,نسبة مئوية,CMH_01-A-001,A,مقاولات,بنود العقد,3,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,2,تشتمل على أعمال الهدم وإلإزالة والترحيل داخل أدوار المبنى والسعر يشمل نقل المخلفات الغير صالحه للمقالب العموميه ونقل المخلفات الصالحه لمخازن الجهه المالكه.Ref drawing: 07-MRA-DD-(as per floor number)-AR-هدم وإزالة تشطيبات رخام أو بلاط بورسلان أو سيراميك  للأرضيات والجدران الحالية  بحسب المخططات المعتمدة وتعليمات المهندس المشرف.,,معماري,م2,14.5,10362.0,150249.0,percentage,نسبة مئوية,CMH_01-A-002,A,مقاولات,بنود العقد,4,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,3,تشتمل على أعمال الهدم وإلإزالة والترحيل داخل أدوار المبنى والسعر يشمل نقل المخلفات الغير صالحه للمقالب العموميه ونقل المخلفات الصالحه لمخازن الجهه المالكهRef drawing: 07-MRA-DD-(as per floor number)-AR-001هدم وإزالة تشطيبات الأسقف المستعارة الحالية بما تشمل أسقف جبسية وبلاطات صناعية وأسقف معدنية  بحسب المخططات المعتمدة وتعليمات المهندس المشرف.,,معماري,م2,8.5,18420.0,156570.0,percentage,نسبة مئوية,CMH_01-A-003,A,مقاولات,بنود العقد,5,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,4,صبة خرسانية مع شبكة حديد بقطر 8 مم  بأبعاد 10*10 سم  مخدومة بالمسطرين والقدة لتعطي سطحا ناعما في الفناء الوسطي. ويشمل السعر الدفان وأي مواد أو أعمال يتطلبها تنفيذ العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف.,,مدني,م3,540.0,6.0,3240.0,percentage,نسبة مئوية,CMH_01-C-004,C,مقاولات,بنود العقد,6,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,5,صبة أسمنتية كطبقة حماية للعزل في الأماكن الرطبة. ويشمل السعر وأي مواد أو أعمال يتطلبها تنفيذ العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف.,,مدني,م3,366.0,1345.0,492270.0,percentage,نسبة مئوية,CMH_01-C-005,C,مقاولات,بنود العقد,7,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,6,توريد وبناء مباني من البلوك  مقاوم للحريق شاملا المونة والفواصل وأربطة التثبيت والتسليح الرأسي وعتبات جميع الفتحات وعزل الجدران المزدوجة المفرّغة والمكملات ويتم توريد البلوك بالموقع على قواعد خشبية مغطاه بالبلاستيك ويستمر على هذه الحالة حتى يبدأ استخدامه للبناء على أن يكون ذو ابعاد بطول 40سم وسماكة حسب المطلوب وارتفاع 20سم وان تكون صلد سليم نظيف وذو زوايا خارجية قائمة يستعمل لبناء الحوائط حسب ما هو موضح بالمخططات مع التكحيل ويكون  مطابق للمواصفات حسب النوعيه المطلوبة والسعر يشمل كل مايلزم للبناء من البلوك الكامل والقطع الخاصة سواء 5.0 أو 25.0 ، كذلك القطع الخاصة بتمديد المواسير بحيث لا يتم تكسير البلوك أثناء الاستخدام للبناء على الأطلاق ، بالإضافة إلى كافة المواد والاكسسوارات والسقايل واستعمال الشبك الممدد والتسليح بواسطة خوابير معدنية والمرابط المعدنية ويشمل السعر أي مواد أو أعمال يتطلبها استكمال العمل حسب المواصفات  القسم Ref drawing: 07-MRA-DD-(as per floor number) وتعليمات المهندس المشرف 04200Ar-100,,معماري,م2,150.0,450.0,67500.0,percentage,نسبة مئوية,CMH_01-A-006,A,مقاولات,بنود العقد,8,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,7,توريد وبناء مباني من البلوك  مقاوم للحريق شاملا المونة والفواصل وأربطة التثبيت والتسليح الرأسي وعتبات جميع الفتحات وعزل الجدران المزدوجة المفرّغة والمكملات ويتم توريد البلوك بالموقع علىقواعد خشبية مغطاه بالبلاستيك ويستمر على هذه الحالة حتى يبدأ استخدامه للبناء على أن يكون ذو ابعاد بطول 40سم وسماكة حسب المطلوب وارتفاع 20سم وان تكون صلد سليم نظيف وذو زوايا خارجية قائمة يستعمل لبناء الحوائط حسب ما هو موضح بالمخططات مع التكحيل ويكون  مطابق للمواصفات حسب النوعيه المطلوبة والسعر يشمل كل مايلزم للبناء من البلوك الكامل والقطع الخاصة سواء 5.0 أو 25.0 ، كذلك القطع الخاصة بتمديد المواسير بحيث لا يتم تكسير البلوك أثناء الاستخدام للبناء على الأطلاق ، بالإضافة إلى كافة المواد والاكسسوارات والسقايل واستعمال الشبك الممدد والتسليح بواسطة خوابير معدنية والمرابط المعدنية ويشمل السعر أي مواد أو أعمال يتطلبها استكمال العمل حسب المواصفات  القسمRef drawing: 07-MRA-DD-(as per floor number) وتعليمات المهندس المشرف 04200-Ar-100,,معماري,م2,150.0,76.0,11400.0,percentage,نسبة مئوية,CMH_01-A-007,A,مقاولات,بنود العقد,9,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,8,توريد وتركيب درابزين من الزجاج السيكوريت سمك 12 مم مثبت بالارضيات للفناء الداخلي المفتوح بارتفاع 600مم شاملاً إطار الدرابزين من الالمنيوم )u-channel( مقاس 40مم × 30مم ثخانة2مم )لون اسود 9005RAL ( ويشمل السعر الاكسسوارات وأي مواد أو أعمال يتطلبها تشطيب العمل حسب المواصفات والمخططات. ,,معماري,م.ط,540.0,20.0,10800.0,percentage,نسبة مئوية,CMH_01-A-008,A,مقاولات,بنود العقد,10,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,9,توريد وتركيب درابزين من الزجاج السيكوريت سمك 12 مم مثبت بالارضيات للفناء الوسطي الاساسي 1100 مم شاملاإًطار الدرابزين من الالمنيوم )u-channel(  مقاس80مم × 40مم )لون اسود 9005RAL ( ويشمل السعر الاكسسوارات وأي مواد أو أعمال يتطلبها تشطيب العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف,,معماري,م.ط,540.0,20.0,10800.0,percentage,نسبة مئوية,CMH_01-A-009,A,مقاولات,بنود العقد,11,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,10,إعادة دهان هاندرايل من الحديد  بالايبوكسي ويشمل ازالة الدهان القديم  بالترميل )Sand Plasting( حسب  المواصفات والاصول الفنيه وتعليمات المهندس المشرف.,,معماري,م.ط,42.0,420.0,17640.0,percentage,نسبة مئوية,CMH_01-A-010,A,مقاولات,بنود العقد,12,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,11,تجديد وترميم ودهان وتلميع البوابات الحديدية الرئيسية في المدخل الغربي )مدخل الوزير( والبوابة الرئيسية في المدخل الشمالي )مدخل الموظفين( وتشمل الأعمال ما يلي:تجديد وترميم أبواب الحديد، سنفرة الأبواب، عمل طبقة تأسيس ناري للأبواب، تعشيقة الأبواب مع تلميع الزخرفة، دهان وتلميع الأجزاء نهاية الزخرفة بمواد أيبوكسي + دهان ماء الذهب المركز للأطراف الخارجية + تلميع خارجي بمادة البوليريثان، المحافظة على نظافة المكان وإزالة المخلفات. حسب الاصول الفنيه وتعليمات المهندس المشرف,,معماري,م.ط,12000.0,2.0,24000.0,percentage,نسبة مئوية,CMH_01-A-011,A,مقاولات,بنود العقد,13,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,12,توريد وتركيب اسقف شبكة حديد مش )طلاء بودرة بالفرن لون اسود( سماكة 2 ملم مع تيوب حديد ابعاد 4*8 سم وسماكة 3ملم  ، مثبتة بنظام تعليق متصلة بالسقف الخرساني حسب الرسومات والمناظير وتعليمات المهندس المشرف.Ref drawing: 07-MRA-DD-G.F-AR-200,,معماري,م2,360.0,27.0,9720.0,percentage,نسبة مئوية,CMH_01-A-012,A,مقاولات,بنود العقد,14,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,13,توريد وتركيب اسقف شبكة حديد مش )طلاء بودرة بالفرن لون ابيض(سماكة 2 ملم مع تيوب حديد ابعاد 4*8 سم وسماكة 3ملم  ، مثبتة بنظام تعليق متصلة بالسقف الخرساني حسب الرسومات والمناظير وتعليمات المهندس المشرفRef drawing: 07-MRA-DD-G.F-AR-200,,معماري,م2,360.0,101.0,36360.0,percentage,نسبة مئوية,CMH_01-A-013,A,مقاولات,بنود العقد,15,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,14,توريد وتركيب تيوبات حديد ابعاد 4*4 سم وسماكة 2ملم مع أرفف فوق الكاونتر في منطقة المطبخ. )طلاء بودرة بالفرن لون اسود(مقاس: طول 4400 ملم، ارتفاع 2000 ملم و عرض 600 ملم,,معماري,عدد,102.0,1.0,102.0,percentage,نسبة مئوية,CMH_01-A-014,A,مقاولات,بنود العقد,16,CMH_01_SMART.xlsx,sheet بنود العقد,high,
