contract_no,claim_seq,document_type,document_type_ar,expected_filename,folder_hint,mandatory,upload_status,uploaded_at,missing_warning,external_ref,source_sheet,source_row,source_file,extraction_method,confidence_level,data_quality_notes
CMH_01-C01,1,شهادة إتمام,شهادة إتمام,CMH_01-CLM-001-CERTIFICATE.pdf,06_CERTIFICATES,اختياري,,,,CMH_01-CLM-001,سجل المرفقات,7,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,2,شهادة إتمام,شهادة إتمام,CMH_01-CLM-002-CERTIFICATE.pdf,06_CERTIFICATES,اختياري,,,,CMH_01-CLM-002,سجل المرفقات,11,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,3,شهادة إتمام,شهادة إتمام,CMH_01-CLM-003-CERTIFICATE.pdf,06_CERTIFICATES,اختياري,,,,CMH_01-CLM-003,سجل المرفقات,15,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,4,شهادة إتمام,شهادة إتمام,CMH_01-CLM-004-CERTIFICATE.pdf,06_CERTIFICATES,اختياري,,,,CMH_01-CLM-004,سجل المرفقات,19,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,5,شهادة إتمام,شهادة إتمام,CMH_01-CLM-005-CERTIFICATE.pdf,06_CERTIFICATES,اختياري,,,,CMH_01-CLM-005,سجل المرفقات,23,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,6,شهادة إتمام,شهادة إتمام,CMH_01-CLM-006-CERTIFICATE.pdf,06_CERTIFICATES,اختياري,,,,CMH_01-CLM-006,سجل المرفقات,27,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,7,شهادة إتمام,شهادة إتمام,CMH_01-CLM-007-CERTIFICATE.pdf,06_CERTIFICATES,اختياري,,,,CMH_01-CLM-007,سجل المرفقات,31,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,8,شهادة إتمام,شهادة إتمام,CMH_01-CLM-008-CERTIFICATE.pdf,06_CERTIFICATES,اختياري,,,,CMH_01-CLM-008,سجل المرفقات,35,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,9,شهادة إتمام,شهادة إتمام,CMH_01-CLM-009-CERTIFICATE.pdf,06_CERTIFICATES,اختياري,,,,CMH_01-CLM-009,سجل المرفقات,39,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,10,شهادة إتمام,شهادة إتمام,CMH_01-CLM-010-CERTIFICATE.pdf,06_CERTIFICATES,اختياري,,,,CMH_01-CLM-010,سجل المرفقات,43,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
