contract_no,claim_seq,item_no,description_ar_snapshot,unit_snapshot,unit_price_snapshot,contractual_qty_snapshot,prev_progress,curr_progress,cumulative_qty,period_amount,progress_pct,source_sheet,source_row,source_file,extraction_method,confidence_level,data_quality_notes
CMH_01-C01,1,1,تشتمل على أعمال الهدم وإلإزالة والترحيل داخل أدوار المبنى والسعر يشمل نقل المخلفات الغير صالحه للمقالب العموميه ونقل المخلفات الصالحه لمخازن الجهه المالكه.Ref drawing: 07-MRA-DD-(as per floor number)-AR-001هدم وإزالة الجدران وتشمل  جميع أنواع جدران الطوب  والقواطع الجبسية و الخشبية و الزجاجية  بحسب المخططات المعتمدة وتعليمات المهندس المشرف.,م2,18.0,17900.0,0.0,6940.6,6940.6,124930.8,38.774301675977654,بنود المطالبات,3,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,1,2,تشتمل على أعمال الهدم وإلإزالة والترحيل داخل أدوار المبنى والسعر يشمل نقل المخلفات الغير صالحه للمقالب العموميه ونقل المخلفات الصالحه لمخازن الجهه المالكه.Ref drawing: 07-MRA-DD-(as per floor number)-AR-هدم وإزالة تشطيبات رخام أو بلاط بورسلان أو سيراميك  للأرضيات والجدران الحالية  بحسب المخططات المعتمدة وتعليمات المهندس المشرف.,م2,14.5,10362.0,0.0,2125.76,2125.76,30823.520000000004,20.514958502219653,بنود المطالبات,4,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,1,3,تشتمل على أعمال الهدم وإلإزالة والترحيل داخل أدوار المبنى والسعر يشمل نقل المخلفات الغير صالحه للمقالب العموميه ونقل المخلفات الصالحه لمخازن الجهه المالكهRef drawing: 07-MRA-DD-(as per floor number)-AR-001هدم وإزالة تشطيبات الأسقف المستعارة الحالية بما تشمل أسقف جبسية وبلاطات صناعية وأسقف معدنية  بحسب المخططات المعتمدة وتعليمات المهندس المشرف.,م2,8.5,18420.0,0.0,3441.98,3441.98,29256.83,18.686102062975028,بنود المطالبات,5,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,1,5,صبة أسمنتية كطبقة حماية للعزل في الأماكن الرطبة. ويشمل السعر وأي مواد أو أعمال يتطلبها تنفيذ العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف.,م3,366.0,1345.0,0.0,37.48,37.48,13717.679999999998,2.786617100371747,بنود المطالبات,6,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,1,6,توريد وبناء مباني من البلوك  مقاوم للحريق شاملا المونة والفواصل وأربطة التثبيت والتسليح الرأسي وعتبات جميع الفتحات وعزل الجدران المزدوجة المفرّغة والمكملات ويتم توريد البلوك بالموقع على قواعد خشبية مغطاه بالبلاستيك ويستمر على هذه الحالة حتى يبدأ استخدامه للبناء على أن يكون ذو ابعاد بطول 40سم وسماكة حسب المطلوب وارتفاع 20سم وان تكون صلد سليم نظيف وذو زوايا خارجية قائمة يستعمل لبناء الحوائط حسب ما هو موضح بالمخططات مع التكحيل ويكون  مطابق للمواصفات حسب النوعيه المطلوبة والسعر يشمل كل مايلزم للبناء من البلوك الكامل والقطع الخاصة سواء 5.0 أو 25.0 ، كذلك القطع الخاصة بتمديد المواسير بحيث لا يتم تكسير البلوك أثناء الاستخدام للبناء على الأطلاق ، بالإضافة إلى كافة المواد والاكسسوارات والسقايل واستعمال الشبك الممدد والتسليح بواسطة خوابير معدنية والمرابط المعدنية ويشمل السعر أي مواد أو أعمال يتطلبها استكمال العمل حسب المواصفات  القسم Ref drawing: 07-MRA-DD-(as per floor number) وتعليمات المهندس المشرف 04200Ar-100,م2,150.0,450.0,0.0,1288.91,1288.91,193336.5,286.4244444444445,بنود المطالبات,7,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,1,7,توريد وبناء مباني من البلوك  مقاوم للحريق شاملا المونة والفواصل وأربطة التثبيت والتسليح الرأسي وعتبات جميع الفتحات وعزل الجدران المزدوجة المفرّغة والمكملات ويتم توريد البلوك بالموقع علىقواعد خشبية مغطاه بالبلاستيك ويستمر على هذه الحالة حتى يبدأ استخدامه للبناء على أن يكون ذو ابعاد بطول 40سم وسماكة حسب المطلوب وارتفاع 20سم وان تكون صلد سليم نظيف وذو زوايا خارجية قائمة يستعمل لبناء الحوائط حسب ما هو موضح بالمخططات مع التكحيل ويكون  مطابق للمواصفات حسب النوعيه المطلوبة والسعر يشمل كل مايلزم للبناء من البلوك الكامل والقطع الخاصة سواء 5.0 أو 25.0 ، كذلك القطع الخاصة بتمديد المواسير بحيث لا يتم تكسير البلوك أثناء الاستخدام للبناء على الأطلاق ، بالإضافة إلى كافة المواد والاكسسوارات والسقايل واستعمال الشبك الممدد والتسليح بواسطة خوابير معدنية والمرابط المعدنية ويشمل السعر أي مواد أو أعمال يتطلبها استكمال العمل حسب المواصفات  القسمRef drawing: 07-MRA-DD-(as per floor number) وتعليمات المهندس المشرف 04200-Ar-100,م2,150.0,76.0,0.0,117.36,117.36,17604.0,154.42105263157896,بنود المطالبات,8,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,1,72,طبقة من اللياسة الأسمنتية فوق الأسطح الخرسانية والجدران الداخلية  بسمك متوسط 20 مم على طبقات  طرطشة بسمك 5 مم وضهارة 15 مم حسب المواصفات مع المعالجة اليومية  بالمياه لمنع التنميلات ويتم عمل افريز بين البلوك والخرسانة يملئ بمواد قابلة للدهان والسعر يشمل كامل الأكسسوارات اللازمة من شبك معدني ممدد وزوايا ونهايات معدنية  ومواد الترابط  وعمل تجاويف في طبقة اللياسة بعمق 10مم عرض 10مم  في الاعمدة  وفي الجدران ان وجدت حسب الرسومات والمناظير وتعليمات المهندس المشرف ذلك حسب الاصول الفنية وتعليمات المهندس المشرف. لياسة الجدران والأعمدة الداخلية  وتشمل جميع الإكسسوارات بإرتفاع 20 سم أعلي الأسقف الجبسيه لزوم الجدران الداخلية,م²,42.0,758.0,0.0,1521.25,1521.25,63892.5,200.69261213720316,بنود المطالبات,9,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,1,74,توريد وتركيب قاطع جداري ثخانة 100مم ذو الواح جبسية مقاومه للحريق  ثخانة 5.12مم تركب من الجهتين )طبقات مزدوجة( يشمل المسامير المعدنية و المزالج / الأعضاء المعدنية الساندة والسكك والغطاء العازل للصوت )صوف صخري( وكل الإكسسوارات حسب المخطط والمواصفات وتعليمات المهندس المشرف.,م²,180.0,12526.0,0.0,356.6,356.6,64188.00000000001,2.846878492735111,بنود المطالبات,10,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,1,254,توريد وتركيب وإختبار وفحص علبة خدمة من نوعية ممتازة تحتوى على  ) أ ( مقابس تغذية أرضية مزدوجة ذات أسلاك 4 مم2 كحد أدنى مركبة على الأرض وتشمل أسلاك التأريض من اللوحة حتى المقابس + )ب( مآخذ للهاتف والبيانات ذات كابلات CAT 6A UTP وحتى كابينة الداتا  وحسب مواصفات إدارة الـ IT  بالوزارة. على المقاول المعاينة و فحص الشبكة الحالية و الاستفادة من التمديدات الحالية و دمجها مع التركيبات الجديدة بعد عمل الاختبارات اللازمة و بعد الموافقة من مهندس المشرف . النوع  )A(  )تحتوى على  4 قوى & 4 داتا (,عدد,2160.0,286.0,0.0,30.0,30.0,64800.0,10.48951048951049,بنود المطالبات,11,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,1,255,توريد وتركيب وإختبار وفحص علبة خدمة من نوعية ممتازة تحتوى على  ) أ ( مقابس تغذية أرضية مزدوجة ذات أسلاك 4 مم2 كحد أدنى مركبة على الأرض وتشمل أسلاك التأريض من اللوحة حتى المقابس + )ب( مآخذ للهاتف والبيانات ذات كابلات CAT 6A UTP وحتى كابينة الداتا  وحسب مواصفات إدارة الـ IT  بالوزارة. على المقاول المعاينة و فحص الشبكة الحالية و الاستفادة من التمديدات الحالية و دمجها مع التركيبات الجديدة بعد عمل الاختبارات اللازمة و بعد الموافقة من مهندس المشرف . النوع )B(   )تحتوى على 2 قوى & 2 داتا (,عدد,1800.0,20.0,0.0,19.0,19.0,34200.0,95,بنود المطالبات,12,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
