contract_no,claim_seq,claim_no_official,external_reference,claim_kind,claim_kind_source_ar,claim_type,work_period_from,work_period_to,boq_amount,staff_amount,performance_pct,gross_amount,retention_amount,net_amount,vat_amount,total_amount,cumulative_amount,status,status_source_ar,notes,external_ref_id,source_sheet,source_row,source_file,extraction_method,confidence_level,data_quality_notes
CMH_01-C01,1,230302028960,230302028960,running_payment,بنود فقط,boq_only,2022-11-08,2023-01-08,643229.8300000001,0,100.0,643229.8300000001,64322.98300000001,578906.8470000001,86836.02705000002,665742.8740500001,665742.8740500001,approved,معتمدة,,CMH_01-CLM-001,المطالبات,3,CMH_01_SMART.xlsx,sheet المطالبات,high,
CMH_01-C01,2,230502047363,230502047363,running_payment,بنود فقط,boq_only,2023-01-08,2023-03-08,555052.44,0,100.0,555052.44,55505.24399999999,499547.19599999994,74932.07939999999,574479.2753999999,1240222.14945,approved,معتمدة,,CMH_01-CLM-002,المطالبات,4,CMH_01_SMART.xlsx,sheet المطالبات,high,
CMH_01-C01,3,230602216686,230602216686,running_payment,بنود فقط,boq_only,2023-03-08,2023-06-04,1330080.5280000002,0,100.0,1330080.5280000002,133008.0528,1197072.4752000002,179560.87128000002,1376633.3464800003,2616855.49593,approved,معتمدة,,CMH_01-CLM-003,المطالبات,5,CMH_01_SMART.xlsx,sheet المطالبات,high,
CMH_01-C01,4,230802167393,230802167393,running_payment,بنود فقط,boq_only,2023-06-04,2023-07-04,758335.0079999999,0,100.0,758335.0079999999,75833.5008,682501.5071999999,102375.22608,784876.7332799998,3401732.22921,approved,معتمدة,,,المطالبات,6,CMH_01_SMART.xlsx,sheet المطالبات,high,
CMH_01-C01,5,230902137329,230902137329,running_payment,بنود فقط,boq_only,2023-07-04,2023-09-02,3060076.114499999,0,100.0,3060076.114499999,306007.6114499999,2754068.5030499995,413110.2754574999,3167178.7785074995,6568911.0077174995,approved,معتمدة,,CMH_01-CLM-005,المطالبات,7,CMH_01_SMART.xlsx,sheet المطالبات,high,
CMH_01-C01,6,231002332498,231002332498,running_payment,بنود فقط,boq_only,2023-09-02,2023-11-16,1525725.0107999998,0,100.0,1525725.0107999998,152572.50108,1373152.5097199997,205972.87645799996,1579125.3861779997,8148036.393895499,approved,معتمدة,,CMH_01-CLM-006,المطالبات,8,CMH_01_SMART.xlsx,sheet المطالبات,high,
CMH_01-C01,7,240102169624,240102169624,running_payment,بنود فقط,boq_only,2023-11-16,2024-01-15,2904825.777,0,100.0,2904825.777,290482.57769999997,2614343.1993,392151.479895,3006494.679195,11154531.0730905,approved,معتمدة,,CMH_01-CLM-007,المطالبات,9,CMH_01_SMART.xlsx,sheet المطالبات,high,
CMH_01-C01,8,240202247790,240202247790,running_payment,بنود فقط,boq_only,2024-01-15,2024-02-17,4089443.6653,0,100.0,4089443.6652999995,408944.36653,3680499.2987699993,552074.8948154999,4232574.193585499,15387105.266675998,approved,معتمدة,,CMH_01-CLM-008,المطالبات,10,CMH_01_SMART.xlsx,sheet المطالبات,high,
CMH_01-C01,9,240402029618,240402029618,running_payment,بنود فقط,boq_only,2024-02-17,2024-04-02,1893689.5964,0,100.0,1893689.5964,189368.95964,1704320.63676,255648.095514,1959968.7322739998,17347073.998949997,approved,معتمدة,,CMH_01-CLM-009,المطالبات,11,CMH_01_SMART.xlsx,sheet المطالبات,high,
CMH_01-C01,10,240402175547,240402175547,running_payment,بنود فقط,boq_only,2024-04-02,2024-04-25,1711341.96,0,100.0,1711341.96,171134.19600000003,1540207.764,231031.16460000002,1771238.9286,19118312.927549995,approved,معتمدة,,CMH_01-CLM-010,المطالبات,12,CMH_01_SMART.xlsx,sheet المطالبات,high,
CMH_01-C01,11,240602053573,240602053573,running_payment,بنود فقط,boq_only,2024-04-25,2024-06-05,3969678.0568999997,0,100.0,3969678.0569,396967.80569000007,3572710.2512100004,535906.5376815,4108616.7888915003,23226929.716441497,approved,معتمدة,,CMH_01-CLM-011,المطالبات,13,CMH_01_SMART.xlsx,sheet المطالبات,high,
CMH_01-C01,12,240702195001,240702195001,running_payment,بنود فقط,boq_only,2024-06-05,2024-07-08,1577832.5834,0,100.0,1577832.5833999997,157783.25833999997,1420049.3250599997,213007.39875899997,1633056.7238189997,24859986.440260496,approved,معتمدة,,CMH_01-CLM-012,المطالبات,14,CMH_01_SMART.xlsx,sheet المطالبات,high,
CMH_01-C01,13,240902011858,240902011858,running_payment,بنود فقط,boq_only,2024-07-08,2024-08-24,1634218.5840000003,0,100.0,1634218.5840000003,163421.85840000003,1470796.7256000002,220619.50884000002,1691416.2344400003,26551402.674700495,approved,معتمدة,,CMH_01-CLM-013,المطالبات,15,CMH_01_SMART.xlsx,sheet المطالبات,high,
CMH_01-C01,14,241002110633,241002110633,running_payment,بنود فقط,boq_only,2024-08-24,2024-10-05,5426451.1559999995,0,100.0,5426451.1559999995,542645.1155999999,4883806.040399999,732570.90606,5616376.946459999,32167779.621160492,approved,معتمدة,,CMH_01-CLM-014,المطالبات,16,CMH_01_SMART.xlsx,sheet المطالبات,high,
CMH_01-C01,15,241102111582,241102111582,running_payment,بنود فقط,boq_only,,,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,32167779.621160492,approved,معتمدة,,CMH_01-CLM-015,المطالبات,17,CMH_01_SMART.xlsx,sheet المطالبات,high,
CMH_01-C01,16,241102213835,241102213835,running_payment,بنود فقط,boq_only,2024-10-05,2024-11-10,4734576.0,0,100.0,4734576.0,473457.6,4261118.4,639167.7600000001,4900286.16,37068065.78116049,approved,معتمدة,,CMH_01-CLM-016,المطالبات,18,CMH_01_SMART.xlsx,sheet المطالبات,high,
CMH_01-C01,17,250302015472,250302015472,running_payment,بنود فقط,boq_only,2024-11-10,2025-03-02,10805301.140000002,0,100.0,10805301.140000002,1080530.1140000003,9724771.026000002,1458715.6539000005,11183486.679900004,48251552.461060494,approved,معتمدة,,,المطالبات,19,CMH_01_SMART.xlsx,sheet المطالبات,high,
CMH_01-C01,18,250502023877,250502023877,running_payment,بنود فقط,boq_only,2025-03-02,2025-03-27,8333499.72,0,100.0,8333499.72,833349.9720000001,7500149.748,1125022.4622,8625172.2102,56876724.67126049,approved,معتمدة,,,المطالبات,20,CMH_01_SMART.xlsx,sheet المطالبات,high,
CMH_01-C01,19,250702126887,250702126887,running_payment,بنود فقط,boq_only,2025-03-02,2025-03-27,3666523.4999999995,0,100.0,3666523.4999999995,366652.3499999999,3299871.1499999994,494980.6724999999,3794851.8224999993,60671576.49376049,approved,معتمدة,,,المطالبات,21,CMH_01_SMART.xlsx,sheet المطالبات,high,
CMH_01-C01,20,250902193001,250902193001,running_payment,بنود فقط,boq_only,2025-03-02,2025-03-27,3594042.62714,0,100.0,3594042.62714,359404.26271399995,3234638.364426,485195.7546639,3719834.1190899,64391410.61285039,approved,معتمدة,,CMH_01-CLM-020,المطالبات,22,CMH_01_SMART.xlsx,sheet المطالبات,high,
CMH_01-C01,21,251102237265,251102237265,running_payment,بنود فقط,boq_only,2025-03-02,2025-03-27,690133.7586,0,100.0,690133.7586,69013.37585999999,621120.3827399999,93168.05741099999,714288.4401509999,65105699.05300139,approved,معتمدة,,,المطالبات,23,CMH_01_SMART.xlsx,sheet المطالبات,high,
