contract_no,item_no,description_ar,unit,contractual_qty,unit_price,cumulative_qty,cumulative_pct,cumulative_amount,remaining_qty,source_sheet,source_row,source_file,extraction_method,confidence_level,data_quality_notes
CMH_01-C01,1,تشتمل على أعمال الهدم وإلإزالة والترحيل داخل أدوار المبنى والسعر يشمل نقل المخلفات الغير صالحه للمقالب العموميه ونقل المخلفات الصالحه لمخازن الجهه المالكه.Ref drawing: 07-MRA-DD-(as per floor number)-AR-001هدم وإزالة الجدران وتشمل  جميع أنواع جدران الطوب  والقواطع الجبسية و الخشبية و الزجاجية  بحسب المخططات المعتمدة وتعليمات المهندس المشرف.,,17900.0,,,,,,الملخص التراكمي,3,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,2,تشتمل على أعمال الهدم وإلإزالة والترحيل داخل أدوار المبنى والسعر يشمل نقل المخلفات الغير صالحه للمقالب العموميه ونقل المخلفات الصالحه لمخازن الجهه المالكه.Ref drawing: 07-MRA-DD-(as per floor number)-AR-هدم وإزالة تشطيبات رخام أو بلاط بورسلان أو سيراميك  للأرضيات والجدران الحالية  بحسب المخططات المعتمدة وتعليمات المهندس المشرف.,,10362.0,,,,,,الملخص التراكمي,4,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,3,تشتمل على أعمال الهدم وإلإزالة والترحيل داخل أدوار المبنى والسعر يشمل نقل المخلفات الغير صالحه للمقالب العموميه ونقل المخلفات الصالحه لمخازن الجهه المالكهRef drawing: 07-MRA-DD-(as per floor number)-AR-001هدم وإزالة تشطيبات الأسقف المستعارة الحالية بما تشمل أسقف جبسية وبلاطات صناعية وأسقف معدنية  بحسب المخططات المعتمدة وتعليمات المهندس المشرف.,,18420.0,,,,,,الملخص التراكمي,5,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,4,صبة خرسانية مع شبكة حديد بقطر 8 مم  بأبعاد 10*10 سم  مخدومة بالمسطرين والقدة لتعطي سطحا ناعما في الفناء الوسطي. ويشمل السعر الدفان وأي مواد أو أعمال يتطلبها تنفيذ العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف.,,6.0,,,,,,الملخص التراكمي,6,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,5,صبة أسمنتية كطبقة حماية للعزل في الأماكن الرطبة. ويشمل السعر وأي مواد أو أعمال يتطلبها تنفيذ العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف.,,1345.0,,,,,,الملخص التراكمي,7,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,6,توريد وبناء مباني من البلوك  مقاوم للحريق شاملا المونة والفواصل وأربطة التثبيت والتسليح الرأسي وعتبات جميع الفتحات وعزل الجدران المزدوجة المفرّغة والمكملات ويتم توريد البلوك بالموقع على قواعد خشبية مغطاه بالبلاستيك ويستمر على هذه الحالة حتى يبدأ استخدامه للبناء على أن يكون ذو ابعاد بطول 40سم وسماكة حسب المطلوب وارتفاع 20سم وان تكون صلد سليم نظيف وذو زوايا خارجية قائمة يستعمل لبناء الحوائط حسب ما هو موضح بالمخططات مع التكحيل ويكون  مطابق للمواصفات حسب النوعيه المطلوبة والسعر يشمل كل مايلزم للبناء من البلوك الكامل والقطع الخاصة سواء 5.0 أو 25.0 ، كذلك القطع الخاصة بتمديد المواسير بحيث لا يتم تكسير البلوك أثناء الاستخدام للبناء على الأطلاق ، بالإضافة إلى كافة المواد والاكسسوارات والسقايل واستعمال الشبك الممدد والتسليح بواسطة خوابير معدنية والمرابط المعدنية ويشمل السعر أي مواد أو أعمال يتطلبها استكمال العمل حسب المواصفات  القسم Ref drawing: 07-MRA-DD-(as per floor number) وتعليمات المهندس المشرف 04200Ar-100,,450.0,,,,,,الملخص التراكمي,8,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,7,توريد وبناء مباني من البلوك  مقاوم للحريق شاملا المونة والفواصل وأربطة التثبيت والتسليح الرأسي وعتبات جميع الفتحات وعزل الجدران المزدوجة المفرّغة والمكملات ويتم توريد البلوك بالموقع علىقواعد خشبية مغطاه بالبلاستيك ويستمر على هذه الحالة حتى يبدأ استخدامه للبناء على أن يكون ذو ابعاد بطول 40سم وسماكة حسب المطلوب وارتفاع 20سم وان تكون صلد سليم نظيف وذو زوايا خارجية قائمة يستعمل لبناء الحوائط حسب ما هو موضح بالمخططات مع التكحيل ويكون  مطابق للمواصفات حسب النوعيه المطلوبة والسعر يشمل كل مايلزم للبناء من البلوك الكامل والقطع الخاصة سواء 5.0 أو 25.0 ، كذلك القطع الخاصة بتمديد المواسير بحيث لا يتم تكسير البلوك أثناء الاستخدام للبناء على الأطلاق ، بالإضافة إلى كافة المواد والاكسسوارات والسقايل واستعمال الشبك الممدد والتسليح بواسطة خوابير معدنية والمرابط المعدنية ويشمل السعر أي مواد أو أعمال يتطلبها استكمال العمل حسب المواصفات  القسمRef drawing: 07-MRA-DD-(as per floor number) وتعليمات المهندس المشرف 04200-Ar-100,,76.0,,,,,,الملخص التراكمي,9,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,8,توريد وتركيب درابزين من الزجاج السيكوريت سمك 12 مم مثبت بالارضيات للفناء الداخلي المفتوح بارتفاع 600مم شاملاً إطار الدرابزين من الالمنيوم )u-channel( مقاس 40مم × 30مم ثخانة2مم )لون اسود 9005RAL ( ويشمل السعر الاكسسوارات وأي مواد أو أعمال يتطلبها تشطيب العمل حسب المواصفات والمخططات. ,,20.0,,,,,,الملخص التراكمي,10,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,9,توريد وتركيب درابزين من الزجاج السيكوريت سمك 12 مم مثبت بالارضيات للفناء الوسطي الاساسي 1100 مم شاملاإًطار الدرابزين من الالمنيوم )u-channel(  مقاس80مم × 40مم )لون اسود 9005RAL ( ويشمل السعر الاكسسوارات وأي مواد أو أعمال يتطلبها تشطيب العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف,,20.0,,,,,,الملخص التراكمي,11,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
CMH_01-C01,10,إعادة دهان هاندرايل من الحديد  بالايبوكسي ويشمل ازالة الدهان القديم  بالترميل )Sand Plasting( حسب  المواصفات والاصول الفنيه وتعليمات المهندس المشرف.,,420.0,,,,,,الملخص التراكمي,12,CMH_01_SMART.xlsx,sheet الملخص التراكمي (header re-detected),high,
